Headlines,Time,Description
Clorox CEO: What is good for the environment is good for business,2019-11-22,"""We want to reduce the virgin plastic and fiber that we use in our products and packaging by 50% over the next 10 years,"" Clorox CEO Benno Dorer says."
Cramer's lightning round: Let Tesla shares come down more before buying,2019-11-22,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Everything Jim Cramer said on 'Mad Money,' including trade war progress, Clorox and SoFi CEOs",2019-11-22,CNBC's Jim Cramer takes a look at a shortened week of Wall Street that's full of earnings reports heading into the Thanksgiving holiday. He sits down with the CEOs of Clorox and fintech disruptor SoFi.
Credit Suisse sees almost 10% upside in the S&P 500 in 2020,2019-11-25,"Jonathan Golub of Credit Suisse says the S&P 500 could move up toward 3,425 in 2020 because of a better economic backdrop and improved earnings. He also says he's not expecting a ""wonderful"" trade deal to lift markets and his optimism is not trade dependent."
"Everything Jim Cramer said on 'Mad Money,' including mergers, buy Uber, PVH CEO and sell Sonos",2019-11-25,"CNBC's Jim Cramer explains what the recent mergers tell us about the stock market. The ""Mad Money"" host also explains why now is the right time to buy shares of Uber."
Cramer's lightning round: Take profits and sell some shares of Sonos,2019-11-25,"The ""Mad Money"" host also recommends buying shares of Costco when its stock pulls back. He also does not recommend Molson Coors Brewing Company."
CEO of Calvin Klein owner warns China tariffs could soon hit US economy in a meaningful way,2019-11-25,"The uncertainty of the U.S.-China trade war has been the biggest hindrance to business, PVH CEO Emanuel Chirico said."
"Sell the pot stocks  Ethe market is 'not what it was cracked up to be,' Jim Cramer says",2019-11-25,"""Companies need to close, funding needs to dry up, mergers must occur. Until then, these stocks are now sell-in-the-strength detritus,"" the ""Mad Money"" host says."
Cramer: Recent mergers show stocks are not as expensive as people think,2019-11-25,"If stocks were actually overpriced, there would not be as much merger and acquisition activity, the ""Mad Money"" host says."
"Shares of Uber are now worth buying, Jim Cramer says",2019-11-25,"The ""Mad Money"" host has been skeptical of Uber, but he believes there is a clear path for its stock to go higher."
"Everything Jim Cramer said on 'Mad Money,' including Schwab-TD Ameritrade talks, weed stocks",2019-11-25,"CNBC's Jim Cramer explains what triggered Charles Schwab and TD Ameritrade brokerages to discuss a merger, tells investors it's time to sell marijuana stocks and sits down with the CEOs of United Airlines and Advanced Micro Devices."
"The S&P 500's chart is signaling a near-term pullback, technical analyst warns",2019-11-25,"The last time the S&P 500's chart showed this, stocks pulled back shortly thereafter, says JC O'Hara, chief market technician at MKM Partners."
How 3D printing company Carbon is trying to shape the future of manufacturing,2019-11-26,"""This has been an area that's been around for 25, 30 years ... We've cracked the code on how to do 3D printing 100 to 1,000 times faster,"" Carbon's Joseph DeSimone says."
"Cramer: The stock market will continue rallying despite trade war, impeachment and other concerns",2019-11-26,"The ""Mad Money"" host explains that the stock market has remained strong because tariffs haven't been as impactful as expected, sensible mergers have been announced and employment remains robust."
Zappos CEO says trade war tariffs haven't impacted pricing yet,2019-11-26,"Even if tariffs end up putting pressure on Zappos, Hsieh said he believes its loyal customers would continue shopping with the company due to its commitment to customer service."
Lightning Round Contemplate,2019-11-26,"The ""Mad Money"" host says FedEx is too cheap right now, and he also recommended taking some shares of Arrowhead Pharmaceuticals off the table."
"Everything Jim Cramer said on 'Mad Money,' including market rally, Robinhood impact and Zappos CEO",2019-11-26,"The ""Mad Money"" host explains why the stock market has kept rallying despite some concerns. He also discusses Robinhood's impact on investing and talks tariff impact with the CEO of Zappos."
Cramer Remix: The biggest mistake investors can make with taxes,2019-11-27,Jim Cramer reveals his top rule when it comes to taxes and selling stocks.
Owning too many stocks and not enough cash can set you up for failure: Cramer,2019-11-27,"Jim Cramer breaks down why owning fewer stocks can help make you more money, and why investors shouldn't be ashamed of having cash on hand."
Cramer: I helped investors through the 2010 flash crash by following one key rule,2019-11-27,"Jim Cramer builds on his ""nobody ever made a dime panicking"" mantra by explaining how investors can apply it to their portfolios."
"Cramer's top 2 investing rules for bulls, bears and everyone in between",2019-11-27,Jim Cramer shares the two most important investing rules he has learned after nearly 40 years in the business.
Agnico Eagle CEO: There won't be a 'substantial' number of new gold mines built,2019-11-27,"""It's a lot tougher now than it was 10 or 15 years ago,"" Agnico Eagle Mines' Sean Boyd says."
"Never buy a stock all at once  Eyou'll almost definitely get burned, says Jim Cramer",2019-11-27,Jim Cramer doubles down on his key investing rule of never buying a desired stock all in one go.
Cramer: Warren's backtrack on 'Medicare for All' is a boon for this managed-care stock,2019-12-02,"UnitedHealth's stock has ""caught fire"" due in part to Sen. Elizabeth Warren appearing to ""back away"" from her ""Medicare for All"" proposal, according to Jim Cramer."
"Charts show stocks will face pressure through most of Q1 2020, Jim Cramer says",2019-12-02,"Investors are turning from bullish to bearish and Larry Williams suggests investors ""try to sidestep the pain here,"" the ""Mad Money"" host says."
Jim Cramer: We need more 'negativity' in the market before you can start buying again,2019-12-02,"""Once people start worrying again, stocks will come down to more reasonable levels and then you can pounce, but we're not there yet,"" the ""Mad Money"" host says."
Cramer's lightning round: I think you want to sell some Caterpillar,2019-12-02,"""Mad Money"" host Jim Cramer gives callers his thoughts on the stocks of Biogen, Amgen, Caterpillar and others in rapid speed."
"Everything Jim Cramer said on 'Mad Money,' including bearish feels, 'Medicare for All,' S&P forecast",2019-12-02,"""Mad Money's"" Jim Cramer says stocks need to come down more before they're safe to buy again, breaks down the latest developments in managed-care stocks and explains why Wall Street could be under pressure in coming months."
Cramer's lightning round: Tobacco stocks don't deserve your money,2019-12-03,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Salesforce co-CEO Keith Block downplays profit forecastguidance cut: 'Business looks strong',2019-12-03,"""We had a great quarter. We have a lot of success,"" Salesforce co-CEO Keith Block tells Jim Cramer."
Jim Cramer: China trade is a 'much smaller issue' on the market than most people realize,2019-12-03,"Trade fears ""will eventually create fabulous discounts"" in the stock market, but ""we're not totally there yet,"" the ""Mad Money"" host says."
The US markets are 'ridiculously complacent': Strategist,2019-12-03,"Kathryn Vera of Bulltick Capital Markets says the U.S. markets are complacent about domestic politics, Fed policy and the trade dispute with China, and that's a cause for concern for investors"
Jim Cramer: Plan to buy these digitization plays 'on the way down',2019-12-04,"""The companies being thrown away are those that are surfing the biggest secular growth story of our era: the digitization of enterprises,"" the ""Mad Money"" host says."
"The future of Mattel is about a lot more than making toys, CEO says",2019-12-04,"It includes robust footprints in areas closely related to toys such as movies, television and live events, Mattel CEO Ynon Kreiz says."
"Robinhood democratizes stocks for younger generations, co-founder says",2019-12-04,"""People are paying lower prices and that's something that's gone beyond Robinhood and is now available to tens of millions of consumers across the U.S.,"" co-CEO Vladimir Tenev says."
Cramer's lightning round: Jack Dorsey's move to Africa is 'ill-advised',2019-12-04,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Everything Jim Cramer said on 'Mad Money,' including market rotation, Robinhood's 10 million users",2019-12-04,"""Mad Money's"" Jim Cramer breaks down how big funds are shuffling their portfolios and where individual investors can pick stock. He sits down with the CEO of Mattel toy company and the co-founders of stock-trading app Robinhood."
"Everything Jim Cramer said on 'Mad Money,' including Americans not investing, Chipotle CEO",2019-12-05,"CNBC's Jim Cramer breaks down data behind the public's lack of interesting in buying stocks. The ""Mad Money"" host sits down with CEOs of Chipotle, ServiceNow and Edwards Lifesciences for interviews."
"The second food-prep line gives Chipotle a 'huge advantage' in deliveries, CEO says",2019-12-05,"Chipotle CEO Brian Niccol tells ""Mad Money"" host Jim Cramer that the second prep line prevents the process from getting ""bottlenecked."""
"Jim Cramer blames bears, media for the public's low interest in stocks",2019-12-05,"""There are vast sums of money to be made here, and far too many people are missing out because they've been frightened away,"" the ""Mad Money"" host says."
"Everything Jim Cramer said on 'Mad Money,' including China trade fears, Salesforce co-CEO",2019-12-05,"CNBC's Jim Cramer says China is a ""much smaller issue than most people seem to realize,"" chats with Salesforce co-CEO Keith Block after the cloud company's earnings and offers stock buying advice to callers."
Cramer's lightning round: Buy Wendy's ahead of its breakfast launch,2019-12-05,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's week ahead: 'Amazing' jobs report gives us a break from China trade news,2019-12-06,"""When we get an amazing employment report, we can take a break from the on-again, off-again China news and just focus on earnings,"" ""Mad Money"" host Jim Cramer says."
Cramer's lightning round: Virgin Galactic is 'a bridge too far',2019-12-06,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Boot Barn CEO plans to double store count to 500: Western fashion a 'massive retail opportunity',2019-12-06,"""We've said in the past that this is a massive retail opportunity that's been hidden in plain sight for years,"" Boot Barn CEO Jim Conroy says in a ""Mad Money"" interview."
Cramer: Trump should go forward with Dec. 15 tariffs,2019-12-06,"The strong November jobs report shows Trump has more flexibility in trade negotiations with China, CNBC's Jim Cramer says."
"Everything Jim Cramer said on 'Mad Money,' including looming earnings, Dec. 15 tariffs, Boot Barn",2019-12-06,"CNBC's Jim Cramer looks at the week ahead in company earnings and stock market news, sits down with Boot Barn CEO Jim Conroy to get insight into its brick-and-mortar plans and says President Trump should authorize the Dec. 15 tariff hike."
"Everything Jim Cramer said on 'Mad Money,' including Fed and tariffs, department store woes, AT&T",2019-12-09,"CNBC's Jim Cramer breaks down how investors should play Wednesday's Fed announcement, Trump's tariff hike threat on China and invest in AT&T's stock."
"Jim Cramer: Macy's, Kohl's 'have never felt more irrelevant'",2019-12-09,"""The problem for Macy's and Kohl's and Nordstrom is that ... their position gets worse and worse with every passing year,"" Jim Cramer says."
"AT&T shares can go 'much, much higher' from here if management can deliver, Jim Cramer says",2019-12-09,"A MoffettNathanson analyst last month issued a sell rating on AT&T's stock. ""Mad Money's"" Jim Cramer says the call misses the forest for the trees."
Cramer's lightning round: Ring the register on Fitbit,2019-12-09,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Jim Cramer: Be ready to buy stocks if this Fed, tariff scenario happens",2019-12-09,"If the Fed teases potential interest rate hikes and Trump follows through on higher tariffs, ""you have to be ready to buy [stocks],"" Jim Cramer says."
"Buy these 5G stock plays if they take a dip from US-China trade news, Jim Cramer says",2019-12-10,"""At a time like this, we need big apolitical themes that work no matter what, and the best of them should work for years,"" the ""Mad Money"" host says."
Charts show natural resource sectors can give the bull another leg to run on in 2020: Jim Cramer,2019-12-10,"If the metals and mining, basic materials and energy sectors can rebound, ""then 2020 could be a very good year,"" the ""Mad Money"" host says."
Cramer's lightning round: GW Pharma is a long-term hold,2019-12-10,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer: Trade uncertainty gives investors chance to buy stocks at discount,2019-12-10,"Predicting President Trump's next move in the U.S.-China trade war is a difficult task, CNBC's Jim Cramer said. But investors can use that uncertainty to their advantage, he says."
"Everything Jim Cramer said on 'Mad Money,' including 5G plays, the next bull leg, trade uncertainty",2019-12-10,"CNBC's Jim Cramer explains why investors should buy the dip in 5G stocks, ponders how natural resource sectors can carry the market higher in 2020 and reveals why trade uncertainty is creating buying opportunities."
"Art Hogan predicts double-digit 2020 gains, sees 3 groups leading charge",2019-12-11,"National Securities Chief Market Strategist Art Hogan talks the Federal Reserve, 2020 predictions and his bullish S&P 500 forecast for the year ahead with CNBC's Mike Santoli."
Jim Cramer turns bullish on Tesla  E'I'm a true believer',2019-12-11,"Elon Musk ""is a great CEO when he can get out of his own way, and that seems to be what he's doing,"" the ""Mad Money"" host says."
"Recent homebuyer numbers show 'spending is just beginning' for millennials, Cramer says",2019-12-11,"""After a decade of cocooning, millennials want to buy homes that represent value, which is in keeping with the way they shop for everything else,"" CNBC's Jim Cramer says."
Cramer's lightning round: Lockheed Martin is a buy,2019-12-11,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Everything Jim Cramer said on 'Mad Money,' including bullish on Tesla, millennial homebuying",2019-12-11,"""Mad Money"" host Jim Cramer breaks down why Tesla has the green light. Later in the show he reveals signs that the millennial homebuying market is heating up."
"Everything Jim Cramer said on 'Mad Money,' including trade deal stocks, Robinhood fractional shares",2019-12-12,"""Mad Money"" host Jim Cramer names stocks worth buying on a trade deal, argues against free trade with China and sits down with a Robinhood co-CEO."
Cramer's lightning round: Let Alteryx come down further,2019-12-12,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"More than 200,000 signed up for fractional stock trading on day one, Robinhood co-CEO says",2019-12-12,"""We see customers' eyes light up when they deposit $10 or $100 and the entire universe of stocks ... is available to them,"" Robinhood co-CEO Vladimir Tenev says."
Jim Cramer reveals a list of stocks worth buying on a US-China trade deal,2019-12-12,"""Just remember, please, these are mostly short-term trades, not investments,"" the ""Mad Money"" host says."
"Art Hogan sees S&P 500 making double-digit gains in 2020, led by 3 groups",2019-12-12,"The S&P 500 could see another year of double-digit gains as investors look at some unloved groups, says National Securities' Art Hogan."
Art Hogan sets 2020 price target,2019-12-12,National Securities Chief Market Strategist Art Hogan talks his bullish S&P 500 forecast for the year ahead with CNBC's Mike Santoli.
Cramer's week ahead: China trade deal let's us focus on some big earnings reports,2019-12-13,"""Now that we've got a phase one trade deal with China, we can go back to focusing on the earnings,"" the ""Mad Money"" host says. ""I think next week ... we're going to see a lot of good ones."""
Cramer: Costco has a China problem  Eand it's not tariffs,2019-12-13,"The problem is Shanghai, a city of nearly 25 million people, has only one Costco store, CNBC's Jim Cramer said."
"Cramer's lightning round: Gannett  E'Forget it, Jake. It's newspapers'",2019-12-13,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Everything Jim Cramer said on 'Mad Money,' including earnings reports, Costco's China problem",2019-12-13,"CNBC's Jim Cramer takes a look at the week ahead in earnings reports. The ""Mad Money"" host breaks down Costco's challenges in China."
Jim Cramer: 'I almost hope China reneges' on its trade promises,2019-12-13,"The ""Mad Money"" host lays out why he has a hard-line stance on trade with China."
"Everything Jim Cramer said on 'Mad Money,' including China ag buys, Warren's 2020 odds, Bill.com IPO",2019-12-16,CNBC's Jim Cramer says he has hope in the U.S.-China trade deal and that investors should build cash if Elizabeth Warren wins the Democratic nomination.
Cramer's lightning round: Boeing may fall below $300 a share,2019-12-16,"Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer: Keep cash on hand as 'insurance' against a Warren victory in 2020,2019-12-16,"""Wall Street's terrified of Warren, and anything that scares the market is bad news for stock prices,"" the ""Mad Money"" host says."
"Jim Cramer: China often reneges on deals, but 'this one feels different'",2019-12-16,"""The United States is the only country with enough pork production to actually meet China's needs. We've got the upper hand, people,"" the ""Mad Money"" host says."
Jim Cramer names the price to buy newly-public fintech Bill.com 'very aggressively',2019-12-16,"Bill.com counts Bank of America, JPMorgan Chase and American Express among its partners."
"Jim Cramer: Housing data show we've 'finally, finally, finally recovered' from the Great Recession",2019-12-17,"""Good news is actually good news, not a sign that things have gotten overheated and the end is nigh,"" the ""Mad Money"" host says about new housing data."
Elizabeth Warren claims Eli Lilly failed on cheaper insulin. CEO says 'nonsense',2019-12-17,"Warren's report shows ""what's broken in the rest of the pharmaceutical system,"" Eli Lilly CEO David Ricks tells Cramer."
"Shopify, Nvidia and PayPal shares all have 'more room to run,' Jim Cramer says",2019-12-17,"The ""Mad Money"" host goes off the charts to explain why investors may want to buy Shopify, Nvidia or PayPal on any weakness."
Cramer's lightning round: Don't own Ford  Eown the stock of Tesla,2019-12-17,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
SoFi CEO predicts a 'fair amount of consolidation' to come to financial services industry,2019-12-17,"The financial services industry really hasn't had the type of innovation that you've seen in e-commerce as you've seen in online travel,"" SoFi CEO Anthony Noto tells CNBC."
Jim Cramer calls on FedEx to 'stop the sham guidance' and get realistic about forecasts,2019-12-18,"""Stop the predictions, stop the sham guidance, and take the time to figure it all out. Then, and only then, will FedEx the stock be able to bottom,"" the ""Mad Money"" host says."
Cramer's lightning round: Microsoft CEO Satya Nadella is 'doing such an amazing job',2019-12-18,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Everything Jim Cramer said on 'Mad Money,' including investing around impeachment, FedEx's woes",2019-12-18,"CNBC's Jim Cramer explained why the impeachment process won't disturb investing on Wall Street. The ""Mad Money"" host also breaks down what's plaguing FedEx."
Cramer: These stocks worked during Clinton's impeachment process and can work during Trump's,2019-12-18,"""It's really pretty astonishing how much of what was working then is also working now,"" the ""Mad Money"" host says."
Jim Cramer: 'It's a mistake to freak out about the impeachment process',2019-12-18,"The ""Mad Money"" host says there's no need to worry on Wall Street, even if the market has more down days ahead."
"Everything Jim Cramer said on 'Mad Money,' including housing recovery, Eli Lilly CEO, bargain stocks",2019-12-18,"CNBC's Jim Cramer breaks down the positive signs in the latest housing data, sits down with Eli Lilly's CEO and reveals stocks worth buying."
One chart signal suggests Microsoft's mega rally could be coming to an end,2019-12-18,"Microsoft is on a rocketship this year, but its stock charts indicate it could come back down to Earth soon."
"History is on investors' side when it comes to impeachment, Jim Cramer says",2019-12-18,"In 1999, President Bill Clinton's impeachment ""was irrelevant [to stocks]. You had to use any weakness to buy and then to buy and then to buy,"" the ""Mad Money"" host says."
Jim Cramer breaks down how to discover overlooked stock picks in this bull market,2019-12-19,"""So much of successful investing is about read-throughs, dissecting the less obvious pin action when a company reports earnings,"" the ""Mad Money"" host says."
"Jim Cramer: Four 2019 IPO stocks worth buying 'right here, right now'",2019-12-19,"""This year's IPO market has been a real roller coaster, but now that the dust has settled,"" Lyft, Kontoor Brands, Levi's and Revolve Group are buys, the ""Mad Money"" host says."
Cramer's lightning round: Abbvie is a 'rocket ship' going higher,2019-12-19,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Everything Jim Cramer said on 'Mad Money,' including overlooked stocks, 2019 IPO buys",2019-12-19,CNBC's Jim Cramer reveals how retail investors can discover valuable stocks before others catch wind and drive up the stock price and breaks down what stocks from the 2019 IPO class are worth buying.
Jim Cramer: 12 gifts I want the stock market to deliver in 2020,2019-12-20,"Jim Cramer reveals what he wishes to see from Boeing, the Fed, the tech industry and the broader market in the new year."
"Cramer's lightning round: Microsoft is making hard to own Dropbox, Slack",2019-12-20,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer: The best way to avoid crushing student loan debt,2019-12-23,Jim Cramer says students who graduate with no debt end up being worth more than classmates with outstanding loans.
"Cramer: To Roth or not to Roth? Untangling the IRA, 401(k) Roth mystery",2019-12-23,"Jim Cramer exposes the good, bad and ugly when dealing with 401(k) and IRA contributions. Roth or no Roth? That is the question."
Mattel CEO: This holiday shopping season is all about the 'big brands',2019-12-23,"Mattel CEO Ynon Kreiz gives ""Mad Money"" host Jim Cramer a preview of the hottest-selling toys the company launched this year."
Cramer: These costly funds could be ripping you off,2019-12-23,Jim Cramer shares common mistakes made by investors when buying a mutual fund or ETF.
Cramer Remix: Don't pass up free money from your company,2019-12-25,Jim Cramer details how to take advantage of your company's 401(k) contributions.
"Relying on luck is dangerous, Jim Cramer says  Ealways understand why your stock is moving",2019-12-26,"""When you have a win, don't lazily assume that simply [you] got it right,"" the ""Mad Money"" host says."
Jim Cramer's advice for spotting a stock's peak: Look for a counterintuitive move,2019-12-26,"Jim Cramer breaks down how investors can decipher a ""signal"" from the ""noise"" in a stock's action."
Cramer pinpoints the hardest part of individual investing,2019-12-27,Jim Cramer argues that keeping your emotions in check is the hardest part of being a successful investor.
Follow these crucial steps to get started as an investor: Jim Cramer,2019-12-27,Jim Cramer explains why investors need to know themselves if they want to build the best possible portfolio.
"Cramer Remix: When companies show you who they are, believe them",2019-12-27,Jim Cramer breaks down why investors should listen and believe in what executives say about their companies.
Cramer's key to maintaining the perfect portfolio: Stay flexible,2019-12-27,Jim Cramer says that being willing to change your strategy on a dime is critical to maintaining the perfect portfolio.
Cramer Remix: Here's how to approach Fed-induced sell-offs,2019-12-30,Jim Cramer breaks down which stocks are worth eyeing when averages take a hit.
Cramer explains the different types of 'buyable' sell-offs and how to know when to act,2019-12-30,Jim Cramer says recognizing why a sell-off is happening is the key to understanding whether it's safe to buy.
Cramer unpacks 'mechanical' market crashes that have nothing to do with the economy,2019-12-30,Jim Cramer recounts his experience on Black Monday and explains why market crashes don't always mean the economy is failing.
Cramer: How to know when it pays to sell in a sell-off,2019-12-30,Jim Cramer tells investors what to look for to determine whether a sell-off is built to last.
"S&P 500, Russell 2000 and Nasdaq are at risk of pulling back, charts suggest",2019-12-30,"The S&P 500, Russell 2000 and Nasdaq Composite indexes appear to be at make-or-break levels on their weekly charts, says market strategist Matt Maley."
"Cramer Remix: Here's where your first $10,000 should be invested",2019-12-31,Jim Cramer shares his advice for how investors should manage their money and mitigate risk.
Cramer explains the magic of compounding,2019-12-31,Jim Cramer explains why young investors stand to benefit from the magic of compounding.
Cramer makes the case for including bonds in your portfolio,2019-12-31,Jim Cramer addresses the lingering question of how much is the right amount of bond exposure.
Cramer shares the best way to get your child excited about investing,2019-12-31,Jim Cramer spells out the importance of getting kids involved with investing at an early age.
"Investing is about differentiating between cyclical and secular growth stocks, Jim Cramer says",2020-01-02,"""Investing isn't easy, but it doesn't have to be mystifying or intimidating. You just need to learn the lingo,"" CNBC's Jim Cramer says."
Jim Cramer deciphers the Wall Street lingo behind stock valuations,2020-01-02,"""You need to know the vocabulary before you can evaluate a stock,"" CNBC's Jim Cramer says."
"'Know what you own and know what others will pay for it,' Jim Cramer advises",2020-01-02,Jim Cramer explains how investors can apply risk-reward to determine if a stock is worth buying at a certain level.
"Everything Jim Cramer said on 'Mad Money,' including understanding Wall Street jargon",2020-01-02,CNBC's Jim Cramer breaks down the language of Wall Street to help retail investors manage their stock portfolios wisely.
Cramer's lightning round: I thought Luckin Coffee had peaked  E'I was dead wrong',2020-01-03,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Everything Jim Cramer said on 'Mad Money,' including Iran uncertainty, top stocks of 2019, oil stocks",2020-01-03,"CNBC's Jim Cramer advises investors not to panic about tensions with Iran, reflects on the top performing stocks of 2019 and recommends oil stocks worth buying."
Cramer's week ahead: The Iran situation gives us 'something new to worry about',2020-01-03,"The economy is still strong, so investors should remain opportunistic, despite the headwinds of a U.S.-Iran conflict, ""Mad Money"" host Jim Cramer says."
Jim Cramer breaks down the top 2019 S&P 500 performers and their 2020 odds,2020-01-03,"The best stocks on the S&P 500 last year ""were unfairly written off as losers and then came roaring back,"" CNBC's Jim Cramer says."
Jim Cramer reviews the best 2019 Dow performers and predicts their 2020 moves,2020-01-03,"CNBC's Jim Cramer says ""these 10 are most emblematic of the upside potential in 2020, as long as the current environment persists."""
"The 3 oil stocks to buy amid rising US-Iran tensions, according to Jim Cramer",2020-01-03,"BP, Schlumberger and Pioneer Natural Resources are the three oil stocks to buy as tensions between the U.S. and Iran escalate, CNBC's Jim Cramer said."
"Everything Jim Cramer said on 'Mad Money,' including market uncertainty, US-Iran playbook, Nordstrom",2020-01-06,"""Mad Money"" host Jim Cramer warns investors to be cautious about the current market, unveils defensive plays to hedge against growing conflict between the U.S. and Iran, and makes a bullish case for Nordstrom."
Jim Cramer says it might be time to buy Nordstrom,2020-01-06,"While many people consider retailers such as Nordstrom to be down and out, Jim Cramer says a new report from a top analyst shows it may be a good buy."
"Cyberthreats from Iran, others happen 'all the time behind the scenes,' Crowdstrike CEO says",2020-01-06,"Crowdstrike CEO George Kurtz tells CNBC's Jim Cramer it's ""certainly a possibility"" that Iran will attack businesses after the U.S. killed its top commander."
Jim Cramer's investment portfolio for the US-Iran conflict: 'Cash lets you take advantage' of buying opportunities,2020-01-06,"""If we really get the conflagration that so many people seem to be expecting ... you have to be ready for the market to take a beating, at least in the short-term,"" CNBC's Jim Cramer says."
Cramer's lightning round: 'I am bullish on Snap',2020-01-06,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer: Investors must proceed with caution until we know Iran's next move,2020-01-06,"""The market's rebound today may not be as crazy as it looks ... but I'm still recommending proceeding with caution"" because of the U.S.-Iran conflict, CNBC's Jim Cramer says."
"Investors must be prepared for a pullback after a big rally, Jim Cramer says",2020-01-07,"CNBC's Jim Cramer warned that an ""exogenous event"" can cause stocks to drop. The ""Mad Money"" host is still bullish about secular trends in tech."
"Tesla's hitting new highs, and Jim Cramer is 'dumbfounded' that it hasn't gone higher",2020-01-07,"Tesla has strong growth, GM is barely growing and Ford is shrinking. ""Nobody wants to pay up for stagnation,"" CNBC's Jim Cramer said."
Cramer's lightning round: Mattel executives 'have fixed the company',2020-01-07,"""Mad Money"" host Jim Cramer gave his opinion on the stocks of American Tower, Mattel, Nio, Pennsylvania Real Estate Investment Trust and Chewy."
"Everything Jim Cramer said on 'Mad Money,' from preparing for a pullback to doubling down on Tesla",2020-01-07,"""Mad Money"" host Jim Cramer advised investors to brace for a potential pullback in the market and said Tesla will take more market share in autos."
"Everything Jim Cramer said on 'Mad Money,' including Iran reaction, oil's future, Corona seltzer",2020-01-08,"CNBC's Jim Cramer explained what Wednesday's rally means for Wall Street, broke down what he sees in oil's future and interviewed Constellation Brands CEO Bill Newlands."
Cramer's lightning round: Teladoc is worth buying,2020-01-08,"CNBC's Jim Cramer made buy and sell calls on Teladoc Health, Karuna Therapeutics, Pinterest and more stocks in Wednesday's lightning round."
"Jim Cramer: Wall Street showed resilience, complacency in the wake of Iran attacks",2020-01-08,"""With the averages staging a huge rally from last night's moment of crisis ... I marvel at this market's ability to overcome even the toughest of obstacles,"" CNBC's Jim Cramer said."
"Core Labs' latest move is a sign the oil market is not getting better anytime soon, Cramer says",2020-01-08,"""They were telling you this situation is only going to get worse for the industry, not better,"" CNBC's Jim Cramer said."
"S&P to hit new highs in 2020 despite elections, Mideast tensions: $9 billion manager",2020-01-08,"Bill Stone, chief investment officer and managing director at Avalon Investment & Advisory, shares his 2020 outlook with CNBC's Mike Santoli."
Corona seltzer will launch in spring 2020 with a $40 million push from Constellation Brands,2020-01-08,Constellation Brands CEO told CNBC's Jim Cramer Corona will enter a hard-seltzer market that he expects to double in 2020.
"This 2019 market headwind will become a 2020 tailwind, says $9 billion manager, calling new highs",2020-01-09,"Stocks will charge higher in 2020 despite simmering Middle East tensions and the presidential elections, says Avalon CIO Bill Stone."
Jim Cramer: Tyson Foods could become the biggest winner from the US-China trade deal,2020-01-09,"China's pork shortage is a boon for Tyson Foods and the meat producer's earnings projections may need to be increased, the ""Mad Money"" host said."
"Investors must get selective as the market sets new highs, Jim Cramer warns",2020-01-09,"Investors must steer clear of stocks rising from ""late-to-the-party momentum buyers,"" the ""Mad Money"" host said."
Jim Cramer says 'hold your nose and buy' Bed Bath & Beyond on 19% plunge,2020-01-09,"""This quarter was the last gasp of the old, incompetent management team. Do not let it scare you away"" from this ""comeback story,"" Cramer said."
Cramer's lightning round: Buy Canopy Growth over Cronos,2020-01-09,"CNBC's Jim Cramer made buy and sell calls on Cronos Group, EPR Properties, Teva, Starbucks and more stocks."
"Everything Jim Cramer said on 'Mad Money,' including momentum rally, Tyson Foods' potential",2020-01-09,"CNBC's Jim Cramer warned investors not to chase stocks that are rising on momentum, said Tyson Foods is a big winner from U.S.-China trade deal and doubled down on Bed Bath & Beyond."
"Everything Jim Cramer said on 'Mad Money,' including earnings season, autonomous vehicles",2020-01-10,CNBC's Jim Cramer gave a preview of the week ahead in company earnings and sat down with the CEO of self-driving technology provider Mobileye.
